Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Indifferent,Loses focus,Indifferent,Always distracted,Always distracted,Not motivated,No energy at all,Low mood,Quick to anger,Always distracted,Quick to anger,No energy at all,Always distracted,Not motivated,Forgetful,Quick to anger,Easily distracted,Indifferent,Few mistakes,Emotionally stable,At Risk
Loses focus,Few mistakes,No energy at all,Not motivated,Forgetful,Not motivated,Patient,Forgetful,Low mood,Easily distracted,Quick to anger,I recharge through entertainment,Forgetful,Always distracted,Foggy mind,Drained,Quick to anger,Sharp memory,Indifferent,Not motivated,At Risk
Drained,Forgetful,Few mistakes,Sharp memory,No energy at all,Clear-minded,Foggy mind,No energy at all,Always distracted,In good physical condition,Not motivated,Enthusiastic,Always distracted,Focused,Self-aware,Foggy mind,Low mood,Always distracted,Loses focus,Positive outlook,At Risk
Indifferent,Drained,Emotionally stable,No energy at all,Refreshed,Ready to go,No energy at all,Loses focus,Low mood,Indifferent,Challenging but good,Indifferent,Sharp memory,Low mood,Quick to anger,Good stamina,Indifferent,Low mood,Patient,Drained,At Risk
Quick to anger,Quick to anger,Ready to go,Easily distracted,Not motivated,No energy at all,Not motivated,No energy at all,Always distracted,Forgetful,Easily distracted,Clear-minded,Quick to anger,Low mood,Emotionally stable,Indifferent,Indifferent,Good focus,Not motivated,Low mood,At Risk
Not motivated,Always distracted,Drained,Forgetful,Forgetful,Drained,Drained,Indifferent,Forgetful,Indifferent,Foggy mind,Low mood,Always distracted,Ready to go,Indifferent,Loses focus,Enthusiastic,Always distracted,Foggy mind,Indifferent,At Risk
Easily distracted,Indifferent,Challenging but good,Quick to anger,Indifferent,In good physical condition,Drained,Few mistakes,Indifferent,Not motivated,Invested,Always distracted,Ready to go,I recharge through entertainment,Foggy mind,Clear-minded,Good stamina,Easily distracted,No energy at all,Quick to anger,At Risk
Always distracted,Quick to anger,Foggy mind,Patient,Quick to anger,Not motivated,Low mood,Low mood,Emotionally stable,In good physical condition,Drained,Forgetful,Not motivated,Drained,Low mood,Self-aware,Not motivated,Indifferent,Always distracted,Drained,At Risk
Foggy mind,Indifferent,Quick to anger,Indifferent,Low mood,Low mood,Quick to anger,Low mood,Refreshed,Foggy mind,I recharge through entertainment,Low mood,Indifferent,I recharge through entertainment,No energy at all,No energy at all,Easily distracted,No energy at all,No energy at all,Low mood,At Risk
Low mood,Quick to anger,No energy at all,Low mood,Low mood,No energy at all,Quick to anger,Foggy mind,Indifferent,Invested,No energy at all,Forgetful,Drained,Drained,Foggy mind,Easily distracted,Low mood,Low mood,Drained,Quick to anger,At Risk
Ready to go,Low mood,Positive outlook,Low mood,Ready to go,Not motivated,Self-aware,Low mood,In good physical condition,Few mistakes,No energy at all,No energy at all,Loses focus,Not motivated,Easily distracted,Positive outlook,Emotionally stable,Indifferent,Ready to go,Quick to anger,At Risk
Not motivated,Foggy mind,Ready to go,In good physical condition,Not motivated,Ready to go,Patient,Loses focus,No energy at all,Loses focus,Clear-minded,In good physical condition,Good stamina,No energy at all,Indifferent,No energy at all,Emotionally stable,Loses focus,Loses focus,Sharp memory,At Risk
Few mistakes,Few mistakes,Forgetful,Not motivated,Drained,Challenging but good,Quick to anger,Always distracted,Forgetful,Sharp memory,In good physical condition,Self-aware,Always distracted,Forgetful,Always distracted,Emotionally stable,Forgetful,Forgetful,Quick to anger,Not motivated,At Risk
Loses focus,No energy at all,Drained,Quick to anger,Indifferent,Easily distracted,Not motivated,Loses focus,No energy at all,Not motivated,Not motivated,Easily distracted,Always distracted,Forgetful,Forgetful,Patient,No energy at all,Easily distracted,Easily distracted,Low mood,At Risk
Always distracted,Sharp memory,Drained,Drained,Forgetful,Easily distracted,Quick to anger,Not motivated,Quick to anger,Drained,Forgetful,Drained,Emotionally stable,Emotionally stable,No energy at all,Focused,Mostly engaged,Invested,Foggy mind,Invested,At Risk
Low mood,Loses focus,Indifferent,Good stamina,Indifferent,Easily distracted,Always distracted,Enthusiastic,Low mood,Always distracted,Positive outlook,Low mood,Always distracted,In good physical condition,Not motivated,Not motivated,Sharp memory,Drained,Easily distracted,Forgetful,At Risk
Loses focus,Forgetful,Easily distracted,No energy at all,In good physical condition,Indifferent,Easily distracted,Always distracted,Drained,Always distracted,Drained,Loses focus,Drained,Not motivated,Quick to anger,Drained,Quick to anger,Forgetful,Drained,Loses focus,At Risk
Forgetful,Not motivated,No energy at all,Loses focus,Low mood,Always distracted,Drained,Drained,Low mood,Forgetful,Self-aware,Challenging but good,Clear-minded,Indifferent,Foggy mind,Easily distracted,Positive outlook,Not motivated,Forgetful,Drained,At Risk
Drained,Mostly engaged,Invested,No energy at all,Sharp memory,No energy at all,Emotionally stable,Clear-minded,Ready to go,Indifferent,No energy at all,Not motivated,Good stamina,Indifferent,Always distracted,Easily distracted,Drained,Patient,Low mood,Refreshed,At Risk
Indifferent,Indifferent,Forgetful,Always distracted,Quick to anger,Loses focus,Loses focus,Patient,No energy at all,Loses focus,Mostly engaged,Refreshed,Easily distracted,Indifferent,Foggy mind,Indifferent,Drained,Foggy mind,Quick to anger,Quick to anger,At Risk
Low mood,Foggy mind,Indifferent,Loses focus,Low mood,No energy at all,Drained,Drained,Loses focus,Quick to anger,Drained,Quick to anger,Drained,Easily distracted,Forgetful,Few mistakes,Quick to anger,Drained,Low mood,Quick to anger,At Risk
In good physical condition,Challenging but good,Not motivated,Self-aware,Low mood,Forgetful,Forgetful,Loses focus,Few mistakes,Focused,Easily distracted,Indifferent,Not motivated,Low mood,I recharge through entertainment,Quick to anger,Not motivated,Loses focus,No energy at all,Quick to anger,At Risk
Easily distracted,Indifferent,Challenging but good,Drained,Challenging but good,I recharge through entertainment,Foggy mind,Patient,No energy at all,Easily distracted,I recharge through entertainment,Forgetful,Quick to anger,Always distracted,Quick to anger,In good physical condition,Few mistakes,Emotionally stable,No energy at all,Indifferent,At Risk
Forgetful,Drained,No energy at all,Drained,Quick to anger,Forgetful,Low mood,No energy at all,Quick to anger,Easily distracted,No energy at all,Always distracted,No energy at all,Loses focus,Easily distracted,Drained,Quick to anger,Indifferent,Always distracted,Not motivated,At Risk
Invested,Loses focus,Patient,Quick to anger,Few mistakes,Quick to anger,Loses focus,Forgetful,Easily distracted,Not motivated,No energy at all,Low mood,Challenging but good,Positive outlook,Forgetful,Mostly engaged,I recharge through entertainment,Positive outlook,Always distracted,Mostly engaged,At Risk
Not motivated,Low mood,In good physical condition,Loses focus,Loses focus,Low mood,Low mood,Enthusiastic,Low mood,Forgetful,Emotionally stable,Drained,Drained,Low mood,Quick to anger,Indifferent,Few mistakes,Always distracted,Indifferent,Easily distracted,At Risk
Always distracted,Indifferent,Not motivated,Not motivated,Quick to anger,Not motivated,Quick to anger,Loses focus,Indifferent,Easily distracted,Drained,Quick to anger,Sharp memory,Not motivated,Foggy mind,Drained,Positive outlook,Indifferent,Forgetful,Not motivated,At Risk
Easily distracted,Ready to go,Low mood,Forgetful,Low mood,Quick to anger,Enthusiastic,Low mood,Foggy mind,Always distracted,Drained,Quick to anger,Ready to go,Ready to go,Self-aware,Indifferent,Forgetful,Not motivated,Always distracted,Low mood,At Risk
Few mistakes,Not motivated,Quick to anger,Foggy mind,Quick to anger,Not motivated,Low mood,Loses focus,Forgetful,Easily distracted,Mostly engaged,Drained,Enthusiastic,Focused,Clear-minded,Loses focus,Positive outlook,Challenging but good,Quick to anger,Loses focus,At Risk
Not motivated,Easily distracted,Challenging but good,Positive outlook,Easily distracted,Few mistakes,Low mood,Good focus,Not motivated,Quick to anger,Enthusiastic,Quick to anger,Forgetful,Invested,In good physical condition,Foggy mind,Not motivated,I recharge through entertainment,Focused,Always distracted,At Risk
Quick to anger,Easily distracted,Easily distracted,Easily distracted,Not motivated,Indifferent,Always distracted,Not motivated,Quick to anger,Quick to anger,No energy at all,Loses focus,Easily distracted,Indifferent,Forgetful,Low mood,Forgetful,Easily distracted,Forgetful,Always distracted,At Risk
No energy at all,Invested,Good stamina,Self-aware,Not motivated,I recharge through entertainment,Positive outlook,Always distracted,Drained,No energy at all,Loses focus,Good focus,Sharp memory,Drained,Not motivated,Enthusiastic,Easily distracted,Always distracted,Loses focus,Not motivated,At Risk
Quick to anger,Easily distracted,Foggy mind,Invested,Always distracted,Patient,Low mood,Always distracted,Foggy mind,Always distracted,Positive outlook,Clear-minded,Forgetful,Forgetful,I recharge through entertainment,I recharge through entertainment,Mostly engaged,Drained,Mostly engaged,Quick to anger,At Risk
Easily distracted,Loses focus,No energy at all,Forgetful,Quick to anger,Quick to anger,Low mood,Always distracted,Always distracted,Indifferent,Indifferent,Loses focus,Easily distracted,Indifferent,Not motivated,Forgetful,Loses focus,Drained,Always distracted,Forgetful,At Risk
Indifferent,Enthusiastic,Foggy mind,Positive outlook,Indifferent,No energy at all,Good focus,Always distracted,Ready to go,No energy at all,Indifferent,Few mistakes,Loses focus,Forgetful,No energy at all,Loses focus,Not motivated,Clear-minded,Easily distracted,Good stamina,At Risk
Low mood,Indifferent,Loses focus,Not motivated,Easily distracted,Few mistakes,Loses focus,Easily distracted,Enthusiastic,Quick to anger,Sharp memory,Patient,Indifferent,Loses focus,Quick to anger,Easily distracted,Indifferent,Not motivated,Indifferent,Quick to anger,At Risk
Self-aware,Easily distracted,Clear-minded,Emotionally stable,Self-aware,Low mood,I recharge through entertainment,Quick to anger,Loses focus,Indifferent,Loses focus,Easily distracted,Loses focus,Foggy mind,Forgetful,I recharge through entertainment,Drained,Foggy mind,Good focus,Loses focus,At Risk
Drained,Low mood,No energy at all,Drained,Quick to anger,Quick to anger,Always distracted,No energy at all,I recharge through entertainment,Quick to anger,Loses focus,Few mistakes,Easily distracted,Indifferent,Not motivated,Forgetful,Few mistakes,I recharge through entertainment,Loses focus,No energy at all,At Risk
Forgetful,No energy at all,Not motivated,Not motivated,Foggy mind,Foggy mind,Emotionally stable,Easily distracted,Not motivated,No energy at all,Ready to go,Always distracted,No energy at all,Forgetful,Quick to anger,Not motivated,Sharp memory,Always distracted,Forgetful,Not motivated,At Risk
Not motivated,Positive outlook,Indifferent,Low mood,Few mistakes,Low mood,Drained,Always distracted,Low mood,Loses focus,Not motivated,Drained,Foggy mind,No energy at all,Forgetful,Always distracted,Enthusiastic,Loses focus,Quick to anger,Quick to anger,At Risk
Drained,Low mood,Indifferent,Patient,I recharge through entertainment,Low mood,Quick to anger,Always distracted,Low mood,Easily distracted,Always distracted,Challenging but good,Invested,Quick to anger,Quick to anger,Mostly engaged,No energy at all,Always distracted,Easily distracted,Few mistakes,At Risk
Easily distracted,Loses focus,Easily distracted,Indifferent,Indifferent,No energy at all,Low mood,Easily distracted,No energy at all,Forgetful,Easily distracted,Loses focus,Indifferent,No energy at all,Always distracted,Not motivated,Quick to anger,Quick to anger,Always distracted,Drained,At Risk
Not motivated,Easily distracted,Easily distracted,Drained,Low mood,Low mood,Easily distracted,Indifferent,Easily distracted,No energy at all,Ready to go,Foggy mind,Not motivated,Loses focus,Easily distracted,No energy at all,Forgetful,Low mood,Few mistakes,Quick to anger,At Risk
Loses focus,Not motivated,Ready to go,Always distracted,Forgetful,Few mistakes,Low mood,Forgetful,Drained,Drained,Forgetful,Drained,Low mood,Always distracted,Always distracted,Always distracted,Not motivated,Foggy mind,Not motivated,Easily distracted,At Risk
Foggy mind,Drained,Indifferent,Foggy mind,Always distracted,Loses focus,Low mood,Loses focus,Not motivated,Quick to anger,Low mood,Quick to anger,Forgetful,Indifferent,Forgetful,Drained,Quick to anger,Low mood,Not motivated,Low mood,At Risk
Always distracted,Good stamina,Easily distracted,Low mood,Easily distracted,Always distracted,Easily distracted,Forgetful,Quick to anger,Clear-minded,Low mood,Foggy mind,Low mood,Forgetful,Always distracted,Always distracted,Foggy mind,No energy at all,I recharge through entertainment,Enthusiastic,At Risk
Foggy mind,Foggy mind,Positive outlook,Always distracted,Foggy mind,In good physical condition,Challenging but good,Invested,Not motivated,Focused,Focused,Good stamina,Drained,Forgetful,Forgetful,Quick to anger,Focused,No energy at all,Quick to anger,Always distracted,At Risk
Easily distracted,Not motivated,Emotionally stable,Patient,Drained,Not motivated,Self-aware,Focused,Not motivated,Not motivated,Drained,Positive outlook,Emotionally stable,Always distracted,Low mood,Always distracted,Mostly engaged,Always distracted,Loses focus,Forgetful,At Risk
Always distracted,Positive outlook,Positive outlook,Patient,Indifferent,Forgetful,Forgetful,Low mood,Emotionally stable,Not motivated,Foggy mind,Positive outlook,Quick to anger,Sharp memory,Loses focus,Emotionally stable,Refreshed,Always distracted,Always distracted,No energy at all,At Risk
Ready to go,Good stamina,Challenging but good,No energy at all,Challenging but good,Always distracted,Indifferent,Low mood,Drained,Focused,Focused,Invested,Loses focus,Quick to anger,Focused,Quick to anger,Indifferent,No energy at all,Indifferent,Always distracted,At Risk
Focused,Quick to anger,Enthusiastic,Quick to anger,Clear-minded,Quick to anger,Enthusiastic,I recharge through entertainment,Indifferent,Good focus,Indifferent,Low mood,Not motivated,Not motivated,Not motivated,Emotionally stable,Sharp memory,Low mood,Always distracted,Low mood,At Risk
Ready to go,Indifferent,Drained,Loses focus,Quick to anger,Self-aware,Quick to anger,Easily distracted,Foggy mind,No energy at all,Low mood,Easily distracted,Always distracted,Forgetful,Forgetful,Foggy mind,Good focus,No energy at all,Foggy mind,Drained,At Risk
Low mood,Always distracted,Always distracted,Indifferent,Challenging but good,Always distracted,Loses focus,Not motivated,Forgetful,Focused,Foggy mind,Challenging but good,Quick to anger,Forgetful,Easily distracted,Sharp memory,Indifferent,Good stamina,Foggy mind,Loses focus,At Risk
Forgetful,Clear-minded,Foggy mind,Indifferent,No energy at all,No energy at all,In good physical condition,No energy at all,Drained,Quick to anger,Self-aware,Not motivated,Foggy mind,Loses focus,Forgetful,In good physical condition,Always distracted,Easily distracted,Loses focus,Good focus,At Risk
Quick to anger,Drained,Indifferent,Drained,Easily distracted,Loses focus,No energy at all,Drained,Easily distracted,Foggy mind,No energy at all,Quick to anger,Indifferent,Low mood,Low mood,Quick to anger,Indifferent,Indifferent,Loses focus,Quick to anger,At Risk
Indifferent,Loses focus,Low mood,Forgetful,Easily distracted,Drained,Quick to anger,Easily distracted,Drained,Indifferent,Not motivated,Indifferent,Not motivated,Always distracted,Indifferent,Easily distracted,Always distracted,Not motivated,No energy at all,Drained,At Risk
Positive outlook,Clear-minded,Low mood,Ready to go,Challenging but good,Quick to anger,Quick to anger,Forgetful,Forgetful,Easily distracted,Low mood,Foggy mind,Foggy mind,Quick to anger,Few mistakes,Sharp memory,Drained,No energy at all,Always distracted,Clear-minded,At Risk
Quick to anger,Foggy mind,Always distracted,Ready to go,Not motivated,No energy at all,Always distracted,Low mood,Ready to go,Ready to go,Not motivated,Self-aware,Patient,Low mood,Low mood,Forgetful,No energy at all,Drained,Not motivated,No energy at all,At Risk
No energy at all,Easily distracted,Patient,Easily distracted,Self-aware,Sharp memory,Not motivated,Quick to anger,No energy at all,Drained,Loses focus,Easily distracted,Not motivated,Always distracted,Self-aware,Always distracted,Foggy mind,Drained,Foggy mind,Always distracted,At Risk
Low mood,Foggy mind,Not motivated,Easily distracted,Drained,I recharge through entertainment,Indifferent,Indifferent,Drained,Low mood,Always distracted,No energy at all,Forgetful,Easily distracted,Loses focus,Not motivated,Not motivated,Forgetful,Indifferent,Foggy mind,At Risk
Easily distracted,Quick to anger,Easily distracted,Not motivated,Foggy mind,Easily distracted,Clear-minded,Always distracted,Loses focus,Low mood,Drained,Not motivated,Forgetful,Drained,Foggy mind,Forgetful,Clear-minded,Indifferent,Drained,Easily distracted,At Risk
No energy at all,Low mood,Forgetful,Forgetful,Drained,Forgetful,Not motivated,Foggy mind,Loses focus,Forgetful,Drained,Easily distracted,Low mood,Loses focus,Foggy mind,Low mood,Not motivated,Indifferent,Not motivated,Easily distracted,At Risk
Low mood,Low mood,Quick to anger,Not motivated,Indifferent,Always distracted,Quick to anger,Drained,Low mood,Not motivated,Forgetful,Quick to anger,Easily distracted,Indifferent,Not motivated,Not motivated,No energy at all,Loses focus,Mostly engaged,Loses focus,At Risk
No energy at all,Emotionally stable,Easily distracted,In good physical condition,Always distracted,Indifferent,Forgetful,Quick to anger,Forgetful,No energy at all,Good stamina,In good physical condition,Always distracted,Good focus,Refreshed,Foggy mind,In good physical condition,Foggy mind,Ready to go,Positive outlook,At Risk
No energy at all,Forgetful,Indifferent,Refreshed,Invested,Not motivated,Easily distracted,Forgetful,Low mood,Forgetful,Indifferent,Forgetful,No energy at all,Forgetful,Low mood,Not motivated,Indifferent,Easily distracted,Self-aware,No energy at all,At Risk
Quick to anger,No energy at all,Enthusiastic,Sharp memory,Forgetful,Patient,Refreshed,Always distracted,Not motivated,Self-aware,Low mood,Invested,Low mood,Always distracted,Not motivated,Forgetful,Foggy mind,No energy at all,Good focus,Indifferent,At Risk
Not motivated,Quick to anger,Quick to anger,Loses focus,Always distracted,Foggy mind,Drained,Low mood,Loses focus,Positive outlook,Challenging but good,Not motivated,Always distracted,Forgetful,Not motivated,Foggy mind,Positive outlook,Ready to go,No energy at all,Good stamina,At Risk
No energy at all,No energy at all,Not motivated,Low mood,Drained,Forgetful,In good physical condition,Clear-minded,Emotionally stable,Always distracted,Clear-minded,Invested,Forgetful,Few mistakes,Patient,Clear-minded,Quick to anger,Patient,Easily distracted,Easily distracted,At Risk
Not motivated,No energy at all,Not motivated,Challenging but good,Drained,Refreshed,Few mistakes,Drained,Self-aware,No energy at all,Drained,No energy at all,Quick to anger,Enthusiastic,Not motivated,Clear-minded,Patient,Quick to anger,Loses focus,Positive outlook,At Risk
Low mood,Always distracted,Indifferent,No energy at all,Always distracted,Ready to go,Drained,No energy at all,Forgetful,Not motivated,Easily distracted,Always distracted,Forgetful,I recharge through entertainment,Always distracted,Refreshed,Quick to anger,Indifferent,Easily distracted,Loses focus,At Risk
Indifferent,Drained,Loses focus,Not motivated,No energy at all,Good focus,Not motivated,Low mood,Foggy mind,Always distracted,Emotionally stable,Quick to anger,No energy at all,Forgetful,Easily distracted,Easily distracted,Foggy mind,Drained,Sharp memory,Easily distracted,At Risk
Forgetful,Few mistakes,Easily distracted,Invested,Indifferent,Loses focus,Quick to anger,Low mood,Quick to anger,No energy at all,Foggy mind,Drained,Quick to anger,Drained,Always distracted,Clear-minded,Foggy mind,Drained,No energy at all,Foggy mind,At Risk
Indifferent,Low mood,No energy at all,No energy at all,Quick to anger,Indifferent,Foggy mind,Quick to anger,Low mood,Drained,Foggy mind,No energy at all,Always distracted,Loses focus,Forgetful,Foggy mind,Easily distracted,Forgetful,Drained,Indifferent,At Risk
Foggy mind,Drained,Refreshed,Low mood,Few mistakes,Challenging but good,Forgetful,Good stamina,Always distracted,Forgetful,Always distracted,Always distracted,Refreshed,Loses focus,Loses focus,Sharp memory,Foggy mind,Self-aware,Ready to go,Forgetful,At Risk
Invested,Drained,Loses focus,Forgetful,Drained,Quick to anger,Forgetful,Indifferent,Foggy mind,Always distracted,Not motivated,Foggy mind,No energy at all,Refreshed,Enthusiastic,No energy at all,Foggy mind,Low mood,In good physical condition,Foggy mind,At Risk
Always distracted,Clear-minded,Foggy mind,No energy at all,Good focus,Ready to go,No energy at all,No energy at all,Quick to anger,Drained,Not motivated,Patient,Always distracted,Drained,Quick to anger,Invested,Easily distracted,Low mood,Forgetful,Quick to anger,At Risk
Quick to anger,Foggy mind,Drained,No energy at all,Loses focus,Mostly engaged,Easily distracted,Enthusiastic,Not motivated,No energy at all,Emotionally stable,Forgetful,Forgetful,Indifferent,Drained,Indifferent,Patient,Sharp memory,Foggy mind,Foggy mind,At Risk
Positive outlook,Drained,Drained,Indifferent,Low mood,Loses focus,Quick to anger,Low mood,Low mood,Loses focus,Drained,Forgetful,Not motivated,Quick to anger,Low mood,Ready to go,No energy at all,Low mood,Low mood,Loses focus,At Risk
Low mood,No energy at all,Low mood,Loses focus,No energy at all,Patient,Forgetful,Easily distracted,Clear-minded,Focused,Focused,Focused,Loses focus,Positive outlook,Challenging but good,Not motivated,Foggy mind,Quick to anger,Indifferent,Few mistakes,At Risk
Loses focus,No energy at all,Drained,Indifferent,Forgetful,Easily distracted,Invested,Easily distracted,Easily distracted,No energy at all,Drained,Foggy mind,Easily distracted,Drained,Sharp memory,In good physical condition,Indifferent,Not motivated,Low mood,Loses focus,At Risk
Ready to go,Low mood,Drained,Not motivated,Always distracted,Not motivated,Loses focus,Always distracted,No energy at all,Forgetful,Easily distracted,Quick to anger,Loses focus,Loses focus,Mostly engaged,Loses focus,Quick to anger,Easily distracted,Drained,Low mood,At Risk
Quick to anger,Mostly engaged,Foggy mind,Low mood,Loses focus,Mostly engaged,Loses focus,Invested,Indifferent,Ready to go,No energy at all,Enthusiastic,Always distracted,Always distracted,Not motivated,Not motivated,Self-aware,Sharp memory,Good stamina,Good stamina,At Risk
Quick to anger,Positive outlook,Indifferent,Easily distracted,Foggy mind,I recharge through entertainment,Drained,Positive outlook,Quick to anger,Not motivated,Sharp memory,Quick to anger,Indifferent,No energy at all,Loses focus,Not motivated,Good focus,Ready to go,Always distracted,Low mood,At Risk
Quick to anger,Easily distracted,In good physical condition,Low mood,Quick to anger,Foggy mind,Indifferent,Loses focus,Low mood,Low mood,Quick to anger,Always distracted,Not motivated,Low mood,Indifferent,Quick to anger,Drained,Drained,Drained,No energy at all,At Risk
Always distracted,Quick to anger,Good stamina,Foggy mind,Easily distracted,Forgetful,Quick to anger,Foggy mind,Indifferent,Emotionally stable,Foggy mind,Easily distracted,Quick to anger,Not motivated,Loses focus,Indifferent,No energy at all,No energy at all,Foggy mind,Foggy mind,At Risk
Focused,Indifferent,Indifferent,Not motivated,Enthusiastic,Indifferent,Enthusiastic,Easily distracted,Loses focus,Foggy mind,In good physical condition,Drained,In good physical condition,Forgetful,I recharge through entertainment,Ready to go,Easily distracted,Low mood,Not motivated,Refreshed,At Risk
Loses focus,Indifferent,Ready to go,No energy at all,Drained,Always distracted,Not motivated,Self-aware,Good focus,Invested,Good focus,Indifferent,Indifferent,Indifferent,Refreshed,Enthusiastic,Low mood,Forgetful,Forgetful,Few mistakes,At Risk
Few mistakes,No energy at all,Invested,Quick to anger,Enthusiastic,Not motivated,Quick to anger,Foggy mind,Self-aware,Positive outlook,Always distracted,Easily distracted,Foggy mind,Quick to anger,Low mood,Indifferent,No energy at all,Not motivated,Loses focus,Foggy mind,At Risk
Quick to anger,Invested,Easily distracted,Low mood,Drained,Loses focus,Not motivated,Sharp memory,Not motivated,Indifferent,Focused,I recharge through entertainment,Not motivated,Indifferent,In good physical condition,Emotionally stable,Foggy mind,Easily distracted,Foggy mind,Indifferent,At Risk
Drained,Not motivated,Good stamina,Sharp memory,Quick to anger,Always distracted,Easily distracted,Always distracted,Loses focus,Low mood,Patient,Focused,In good physical condition,Foggy mind,Quick to anger,Indifferent,Good stamina,Indifferent,Easily distracted,Good focus,At Risk
Challenging but good,Indifferent,Foggy mind,Focused,Patient,Quick to anger,Sharp memory,Enthusiastic,Challenging but good,Not motivated,Not motivated,Not motivated,Always distracted,Patient,Foggy mind,Easily distracted,Foggy mind,Ready to go,No energy at all,Loses focus,At Risk
Drained,Always distracted,Refreshed,Indifferent,In good physical condition,Low mood,In good physical condition,Foggy mind,Drained,Indifferent,Challenging but good,Low mood,Low mood,Forgetful,Not motivated,Always distracted,Easily distracted,Not motivated,Indifferent,Clear-minded,At Risk
Not motivated,Low mood,Easily distracted,Easily distracted,Foggy mind,Quick to anger,Not motivated,Indifferent,No energy at all,Ready to go,Foggy mind,Challenging but good,No energy at all,Loses focus,No energy at all,Loses focus,Patient,Foggy mind,Foggy mind,Loses focus,At Risk
Focused,Foggy mind,Forgetful,Indifferent,No energy at all,Foggy mind,Loses focus,Loses focus,Indifferent,Not motivated,Always distracted,Clear-minded,No energy at all,Sharp memory,Indifferent,In good physical condition,Emotionally stable,Easily distracted,Patient,Easily distracted,At Risk
No energy at all,Loses focus,Drained,Refreshed,Indifferent,Not motivated,I recharge through entertainment,Not motivated,Drained,Good focus,Foggy mind,Few mistakes,Easily distracted,Not motivated,Quick to anger,Loses focus,Always distracted,Sharp memory,Invested,Not motivated,At Risk
Invested,Indifferent,Easily distracted,Clear-minded,Quick to anger,Enthusiastic,Foggy mind,Not motivated,Easily distracted,Low mood,Indifferent,No energy at all,Emotionally stable,Self-aware,Easily distracted,Forgetful,Good focus,Few mistakes,Foggy mind,Not motivated,At Risk
Quick to anger,Forgetful,Drained,Always distracted,Quick to anger,Loses focus,Not motivated,Indifferent,Indifferent,Low mood,Drained,Quick to anger,Few mistakes,Always distracted,Drained,Loses focus,Loses focus,Forgetful,Loses focus,Foggy mind,At Risk
Quick to anger,Low mood,Indifferent,Low mood,Drained,Drained,Always distracted,Quick to anger,Not motivated,Not motivated,Easily distracted,Low mood,Sharp memory,Not motivated,Not motivated,Foggy mind,Ready to go,Not motivated,Not motivated,Loses focus,At Risk
Easily distracted,Forgetful,Quick to anger,Low mood,Drained,Drained,Foggy mind,I recharge through entertainment,Quick to anger,I recharge through entertainment,Not motivated,Drained,Quick to anger,Sharp memory,Positive outlook,Easily distracted,Low mood,Always distracted,Quick to anger,No energy at all,At Risk
Always distracted,Easily distracted,Easily distracted,Low mood,Foggy mind,Always distracted,Foggy mind,Drained,Forgetful,Forgetful,Low mood,Always distracted,Forgetful,Not motivated,Clear-minded,Foggy mind,Forgetful,Not motivated,Always distracted,Low mood,At Risk
Easily distracted,Loses focus,Always distracted,No energy at all,Low mood,Drained,No energy at all,Quick to anger,Easily distracted,Indifferent,Not motivated,No energy at all,Foggy mind,Low mood,No energy at all,Not motivated,No energy at all,No energy at all,Easily distracted,Focused,At Risk
Always distracted,Always distracted,Easily distracted,Challenging but good,Always distracted,Loses focus,Ready to go,Indifferent,In good physical condition,Self-aware,Easily distracted,Clear-minded,Refreshed,Self-aware,Loses focus,Foggy mind,Foggy mind,Loses focus,Enthusiastic,Not motivated,At Risk
Refreshed,Always distracted,Drained,Drained,Easily distracted,Quick to anger,Always distracted,Good focus,Foggy mind,No energy at all,Good focus,Indifferent,Refreshed,Patient,Few mistakes,Always distracted,Always distracted,Foggy mind,Low mood,Focused,At Risk
Low mood,Easily distracted,Invested,Indifferent,Indifferent,No energy at all,Drained,Forgetful,Indifferent,Always distracted,Enthusiastic,Always distracted,Drained,No energy at all,Quick to anger,Ready to go,Easily distracted,Loses focus,Good stamina,Easily distracted,At Risk
Easily distracted,Always distracted,Quick to anger,Low mood,Loses focus,Focused,Quick to anger,Easily distracted,I recharge through entertainment,Loses focus,Quick to anger,Not motivated,Not motivated,Good stamina,Quick to anger,Focused,No energy at all,Indifferent,Good focus,Always distracted,At Risk
Low mood,Quick to anger,Patient,Drained,Easily distracted,Mostly engaged,Self-aware,Quick to anger,Clear-minded,Self-aware,In good physical condition,Enthusiastic,Quick to anger,No energy at all,Easily distracted,Low mood,Foggy mind,Drained,Foggy mind,Low mood,At Risk
Low mood,Loses focus,Indifferent,Foggy mind,Ready to go,Indifferent,Not motivated,Invested,Not motivated,Always distracted,Loses focus,Good stamina,Low mood,Foggy mind,Loses focus,Always distracted,Always distracted,Foggy mind,No energy at all,Drained,At Risk
