Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Mostly engaged,Positive outlook,Positive outlook,I recharge through entertainment,Emotionally stable,Good focus,Refreshed,Invested,Enthusiastic,Emotionally stable,In good physical condition,Mostly engaged,Mostly engaged,I recharge through entertainment,Always distracted,I recharge through entertainment,Positive outlook,Few mistakes,Focused,Good stamina,Normal
Emotionally stable,Few mistakes,Ready to go,Clear-minded,Clear-minded,Invested,Focused,Loses focus,Ready to go,Emotionally stable,Emotionally stable,Foggy mind,Emotionally stable,Refreshed,Self-aware,Few mistakes,Rarely feel tired,In good physical condition,Enthusiastic,Few mistakes,Normal
Enthusiastic,Clear-minded,Patient,Patient,Rarely feel tired,In good physical condition,Challenging but good,Few mistakes,Focused,Patient,Clear-minded,Self-aware,Invested,Loses focus,Challenging but good,Quick to anger,Mostly engaged,Good focus,Self-aware,Challenging but good,Normal
Refreshed,Indifferent,Quick to anger,Sharp memory,Ready to go,Good stamina,Patient,Self-aware,Quick to anger,Enthusiastic,Quick to anger,I recharge through entertainment,Positive outlook,Emotionally stable,Enthusiastic,Patient,Indifferent,Indifferent,Not motivated,Challenging but good,Normal
Refreshed,Refreshed,Good stamina,Low mood,Ready to go,Focused,Focused,Quick to anger,Emotionally stable,Patient,Invested,Positive outlook,Good focus,Always distracted,Invested,Patient,Good focus,Sharp memory,Few mistakes,Always distracted,Normal
Good focus,Focused,Good focus,In good physical condition,Mostly engaged,Mostly engaged,I recharge through entertainment,Ready to go,Ready to go,Not motivated,Refreshed,Not motivated,Invested,Emotionally stable,Refreshed,Challenging but good,Enthusiastic,Self-aware,In good physical condition,Focused,Normal
Enthusiastic,Quick to anger,Good focus,Self-aware,I recharge through entertainment,Loses focus,Ready to go,Indifferent,Few mistakes,Few mistakes,Enthusiastic,Challenging but good,Foggy mind,No energy at all,Sharp memory,Invested,Enthusiastic,Rarely feel tired,Challenging but good,In good physical condition,Normal
Always distracted,Clear-minded,Loses focus,Good focus,I recharge through entertainment,Positive outlook,Few mistakes,Rarely feel tired,Always distracted,Self-aware,I recharge through entertainment,Positive outlook,Always distracted,Emotionally stable,Refreshed,Low mood,In good physical condition,Good focus,Clear-minded,I recharge through entertainment,Normal
Focused,Focused,Challenging but good,Ready to go,Focused,Patient,Emotionally stable,Drained,Clear-minded,Positive outlook,Invested,Patient,Few mistakes,Challenging but good,Good focus,Few mistakes,Patient,Mostly engaged,Good stamina,Invested,Normal
Emotionally stable,Patient,Clear-minded,Good stamina,Patient,Good focus,Challenging but good,Self-aware,Emotionally stable,Refreshed,No energy at all,Refreshed,Enthusiastic,Drained,Always distracted,Clear-minded,Good stamina,Enthusiastic,Good stamina,I recharge through entertainment,Normal
Positive outlook,Mostly engaged,Emotionally stable,Emotionally stable,Invested,Patient,Good focus,Self-aware,Positive outlook,Quick to anger,Ready to go,I recharge through entertainment,Few mistakes,Low mood,Focused,Sharp memory,Enthusiastic,Emotionally stable,I recharge through entertainment,Sharp memory,Normal
Few mistakes,Mostly engaged,Invested,Self-aware,Patient,Not motivated,Enthusiastic,Positive outlook,Focused,I recharge through entertainment,Forgetful,No energy at all,Emotionally stable,Always distracted,Not motivated,Mostly engaged,Ready to go,Emotionally stable,Positive outlook,Rarely feel tired,Normal
Sharp memory,Patient,Refreshed,Ready to go,Ready to go,In good physical condition,Good focus,Refreshed,Sharp memory,Self-aware,Good focus,Clear-minded,Good stamina,Patient,In good physical condition,Patient,Challenging but good,Challenging but good,Good focus,Enthusiastic,Normal
Focused,Enthusiastic,Sharp memory,Not motivated,Few mistakes,In good physical condition,Drained,Good stamina,I recharge through entertainment,Patient,Clear-minded,Forgetful,Indifferent,Always distracted,Focused,Self-aware,Patient,Focused,Patient,Foggy mind,Normal
Indifferent,Refreshed,Enthusiastic,I recharge through entertainment,Indifferent,Good stamina,Foggy mind,Drained,Invested,Challenging but good,Few mistakes,Focused,Refreshed,Positive outlook,Invested,Few mistakes,Focused,Invested,Ready to go,Always distracted,Normal
In good physical condition,Ready to go,Emotionally stable,Invested,Good stamina,Self-aware,Indifferent,Positive outlook,Good focus,Good focus,Positive outlook,Good stamina,Patient,Emotionally stable,Forgetful,Emotionally stable,Loses focus,Self-aware,Good focus,No energy at all,Normal
Clear-minded,Emotionally stable,Indifferent,Challenging but good,Patient,Focused,Self-aware,Clear-minded,Good stamina,Enthusiastic,Challenging but good,In good physical condition,Positive outlook,Always distracted,Rarely feel tired,Ready to go,Sharp memory,Emotionally stable,Forgetful,I recharge through entertainment,Normal
Positive outlook,Good focus,In good physical condition,Self-aware,Focused,Challenging but good,Self-aware,Emotionally stable,Good stamina,Mostly engaged,Positive outlook,In good physical condition,Low mood,In good physical condition,In good physical condition,Focused,Emotionally stable,Clear-minded,Good focus,Emotionally stable,Normal
Enthusiastic,Good stamina,Patient,Positive outlook,Not motivated,Good stamina,Enthusiastic,In good physical condition,Good focus,Emotionally stable,Focused,Self-aware,Rarely feel tired,Quick to anger,Clear-minded,Clear-minded,Few mistakes,Ready to go,Challenging but good,Foggy mind,Normal
Ready to go,Foggy mind,Few mistakes,Good focus,Emotionally stable,Loses focus,Always distracted,I recharge through entertainment,Self-aware,In good physical condition,Clear-minded,Patient,Good stamina,Refreshed,Positive outlook,Challenging but good,Sharp memory,Loses focus,I recharge through entertainment,Not motivated,Normal
No energy at all,Easily distracted,No energy at all,Invested,Focused,Low mood,Not motivated,Emotionally stable,Clear-minded,Invested,Focused,Challenging but good,Clear-minded,Mostly engaged,Good stamina,Emotionally stable,Challenging but good,Patient,Not motivated,Easily distracted,Normal
Focused,Challenging but good,Focused,Quick to anger,Enthusiastic,Mostly engaged,Invested,Refreshed,Ready to go,In good physical condition,In good physical condition,Challenging but good,Invested,Mostly engaged,Self-aware,I recharge through entertainment,Mostly engaged,Ready to go,Good stamina,Sharp memory,Normal
Loses focus,Ready to go,Invested,Few mistakes,Good stamina,Self-aware,Loses focus,Not motivated,Easily distracted,In good physical condition,Sharp memory,In good physical condition,Patient,Ready to go,In good physical condition,Good focus,Ready to go,Patient,Ready to go,Challenging but good,Normal
Drained,Sharp memory,Good focus,Mostly engaged,Challenging but good,Self-aware,Sharp memory,Good focus,Quick to anger,Good stamina,Rarely feel tired,Forgetful,Sharp memory,Refreshed,Patient,No energy at all,Mostly engaged,Drained,Ready to go,In good physical condition,Normal
Challenging but good,Indifferent,Patient,In good physical condition,No energy at all,Refreshed,Challenging but good,Rarely feel tired,Patient,Few mistakes,Easily distracted,Quick to anger,Forgetful,Focused,Few mistakes,Low mood,Patient,Focused,Ready to go,Few mistakes,Normal
Drained,Easily distracted,Refreshed,Quick to anger,Mostly engaged,Self-aware,I recharge through entertainment,Positive outlook,Clear-minded,Easily distracted,Focused,Mostly engaged,Clear-minded,Quick to anger,Challenging but good,Good focus,Few mistakes,In good physical condition,In good physical condition,Indifferent,Normal
In good physical condition,Ready to go,Good focus,Forgetful,Mostly engaged,Emotionally stable,Enthusiastic,Good focus,Few mistakes,Enthusiastic,Refreshed,Self-aware,No energy at all,Good focus,Invested,Clear-minded,Drained,Foggy mind,Loses focus,Good stamina,Normal
Positive outlook,Mostly engaged,I recharge through entertainment,Focused,Few mistakes,Positive outlook,Invested,Challenging but good,Enthusiastic,Invested,No energy at all,Patient,In good physical condition,Self-aware,Sharp memory,Self-aware,Emotionally stable,Emotionally stable,Good stamina,Ready to go,Normal
Loses focus,Positive outlook,Sharp memory,Good focus,Invested,Good stamina,Self-aware,Challenging but good,Good stamina,Enthusiastic,Low mood,Easily distracted,Patient,Invested,Emotionally stable,Quick to anger,Ready to go,Positive outlook,Enthusiastic,Patient,Normal
Mostly engaged,Sharp memory,Emotionally stable,Enthusiastic,Challenging but good,Invested,Refreshed,Invested,Patient,Sharp memory,Positive outlook,Good stamina,Invested,Good focus,Good stamina,Refreshed,Refreshed,Refreshed,Refreshed,Patient,Normal
Good stamina,I recharge through entertainment,Good focus,Patient,Refreshed,No energy at all,Emotionally stable,Foggy mind,Good stamina,Challenging but good,Rarely feel tired,Focused,In good physical condition,In good physical condition,Good stamina,In good physical condition,Emotionally stable,Mostly engaged,Clear-minded,Patient,Normal
Ready to go,Forgetful,In good physical condition,Foggy mind,In good physical condition,Low mood,Few mistakes,Enthusiastic,Refreshed,I recharge through entertainment,Drained,Easily distracted,Good stamina,Quick to anger,Good stamina,Enthusiastic,Positive outlook,Patient,Good stamina,Loses focus,Normal
Emotionally stable,Patient,No energy at all,In good physical condition,Refreshed,Enthusiastic,Loses focus,Emotionally stable,In good physical condition,Positive outlook,In good physical condition,Challenging but good,Good focus,Always distracted,Loses focus,Good focus,Drained,Self-aware,Focused,Always distracted,Normal
Sharp memory,Rarely feel tired,Easily distracted,Ready to go,I recharge through entertainment,Drained,Focused,Challenging but good,Few mistakes,Enthusiastic,Not motivated,Few mistakes,Emotionally stable,No energy at all,Focused,Positive outlook,Invested,Always distracted,Emotionally stable,Forgetful,Normal
Refreshed,I recharge through entertainment,Good stamina,Patient,Good focus,Clear-minded,Good stamina,Ready to go,I recharge through entertainment,Ready to go,Refreshed,Challenging but good,Drained,Good stamina,Challenging but good,Drained,Enthusiastic,Focused,Positive outlook,Invested,Normal
Invested,Focused,Low mood,Rarely feel tired,Rarely feel tired,Focused,Sharp memory,Invested,Patient,Sharp memory,I recharge through entertainment,Good stamina,Focused,Invested,Invested,Not motivated,Mostly engaged,Emotionally stable,Good stamina,No energy at all,Normal
Refreshed,Rarely feel tired,Forgetful,Loses focus,Enthusiastic,Good stamina,Focused,Positive outlook,Self-aware,Refreshed,Invested,Easily distracted,Enthusiastic,Drained,Always distracted,I recharge through entertainment,Always distracted,Ready to go,Challenging but good,Clear-minded,Normal
Patient,Focused,In good physical condition,Clear-minded,Enthusiastic,Good focus,Clear-minded,Clear-minded,Positive outlook,Enthusiastic,In good physical condition,Challenging but good,I recharge through entertainment,Self-aware,In good physical condition,Good stamina,Mostly engaged,Sharp memory,Focused,Focused,Normal
Mostly engaged,Enthusiastic,Clear-minded,Focused,Drained,Refreshed,Focused,Not motivated,I recharge through entertainment,I recharge through entertainment,Good focus,In good physical condition,Forgetful,Not motivated,Clear-minded,Few mistakes,Refreshed,Ready to go,Sharp memory,Clear-minded,Normal
Good focus,Mostly engaged,Emotionally stable,Invested,Foggy mind,Self-aware,Clear-minded,Invested,No energy at all,Self-aware,Focused,No energy at all,Challenging but good,In good physical condition,Challenging but good,Always distracted,Rarely feel tired,Loses focus,Self-aware,Focused,Normal
Challenging but good,Good stamina,Refreshed,In good physical condition,Sharp memory,Low mood,Good focus,Loses focus,Few mistakes,Ready to go,Not motivated,Positive outlook,Focused,Good focus,Sharp memory,Enthusiastic,In good physical condition,Patient,Self-aware,In good physical condition,Normal
Emotionally stable,Loses focus,Quick to anger,Good stamina,Mostly engaged,Focused,Forgetful,Clear-minded,Rarely feel tired,Self-aware,Patient,Sharp memory,Low mood,Positive outlook,Emotionally stable,Drained,Clear-minded,I recharge through entertainment,Quick to anger,Self-aware,Normal
Challenging but good,Loses focus,Not motivated,Good focus,Clear-minded,Quick to anger,Indifferent,Clear-minded,Not motivated,Ready to go,Not motivated,Mostly engaged,Invested,Invested,Ready to go,I recharge through entertainment,I recharge through entertainment,Foggy mind,Refreshed,Ready to go,Normal
Not motivated,Invested,Challenging but good,Patient,Good stamina,I recharge through entertainment,Enthusiastic,Positive outlook,Few mistakes,I recharge through entertainment,I recharge through entertainment,Patient,Ready to go,I recharge through entertainment,Indifferent,Clear-minded,Few mistakes,Ready to go,Challenging but good,Patient,Normal
Challenging but good,Focused,Challenging but good,Self-aware,Foggy mind,Foggy mind,Ready to go,Sharp memory,In good physical condition,Enthusiastic,Few mistakes,Emotionally stable,Focused,In good physical condition,Good stamina,Focused,Foggy mind,Always distracted,Focused,I recharge through entertainment,Normal
Quick to anger,Not motivated,Emotionally stable,Good stamina,Ready to go,Challenging but good,Mostly engaged,Self-aware,In good physical condition,Good stamina,Drained,In good physical condition,Enthusiastic,Drained,Clear-minded,Easily distracted,Positive outlook,Patient,In good physical condition,No energy at all,Normal
Focused,Good focus,Focused,Emotionally stable,Positive outlook,Emotionally stable,Enthusiastic,Enthusiastic,Self-aware,Invested,Good focus,Positive outlook,Challenging but good,In good physical condition,Ready to go,Enthusiastic,In good physical condition,Enthusiastic,Emotionally stable,Patient,Normal
Positive outlook,Loses focus,Mostly engaged,Emotionally stable,Invested,Positive outlook,Emotionally stable,Good focus,Loses focus,Few mistakes,Self-aware,Enthusiastic,I recharge through entertainment,Mostly engaged,Self-aware,Good focus,Sharp memory,I recharge through entertainment,Easily distracted,Sharp memory,Normal
